region,plot,date,mass_g,cover_pct,month,year
western,24,2019-06-28,1.33,20,6,2019
western,25,2019-06-28,1.01,40,6,2019
western,26,2019-06-28,0.58,11,6,2019
western,27,2019-06-28,0.21,10,6,2019
western,28,2019-06-28,2.03,20,6,2019
western,29,2019-06-28,2.08,20,6,2019
western,30,2019-06-28,3.54,50,6,2019
western,31,2019-06-28,1.34,28,6,2019
western,32,2019-06-28,2.98,35,6,2019
western,33,2019-06-28,2.06,15,6,2019
western,34,2019-06-28,0.72,12,6,2019
western,35,2019-06-28,1.46,14,6,2019
western,36,2019-06-29,1.32,10,6,2019
western,37,2019-06-29,1.47,12,6,2019
western,38,2019-06-29,1.34,17,6,2019
western,39,2019-06-29,2.16,27,6,2019
western,40,2019-06-29,0.82,16,6,2019
western,41,2019-06-29,3.09,22,6,2019
western,42,2019-06-29,1.9,22,6,2019
western,43,2019-07-01,2.68,65,7,2019
western,44,2019-07-01,0.98,35,7,2019
western,45,2019-07-01,2.57,48,7,2019
western,46,2019-07-01,0.94,14,7,2019
western,47,2019-07-01,2.64,30,7,2019
western,48,2019-07-01,4.48,33,7,2019
western,49,2019-07-01,2.17,16,7,2019
western,50,2019-07-01,1.25,10,7,2019
